id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
5892,CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,5,0.0,0.0,12.6,12.6,13.0,12.6,1741769207456,01/FEB/2024,2585.0,205,2,2443195792.8,0.0,12.6,12.6,205,2,4,2025-03-12 11:31:07.832755,2025-03-12
5293,CAPITAL ALLIANCE PLC,CALT.N0000,99,2.2857142857142856,1.2,53.7,52.5,53.8,52.9,1741769428815,15/DEC/2021,661731.5,12372,39,17689740370.8,0.0,52.9,53.7,12372,39,2,2025-03-12 11:31:07.832755,2025-03-12
551,CARGILLS (CEYLON) PLC,CARG.N0000,4,0.0,0.0,435.0,435.0,437.25,431.0,1741769883016,01/JAN/1946,22098.25,51,10,112089812985.0,0.0,431.0,435.0,51,10,0,2025-03-12 11:31:07.832755,2025-03-12
5852,CARGILLS BANK PLC,CBNK.N0000,9,1.2048192771084338,0.1,8.4,8.3,8.4,8.2,1741770000801,09/JAN/2024,258096.8,30727,18,7943400007.2,0.0,8.4,8.4,30727,18,0,2025-03-12 11:31:07.832755,2025-03-12
22,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,600,2.5821596244131455,2.2,87.4,85.2,90.9,85.0,1741769672125,01/JAN/1981,154840.0,1772,6,1575996363.0,0.0,85.0,87.4,1772,6,0,2025-03-12 11:31:07.832755,2025-03-12
336,CARSON CUMBERBATCH PLC,CARS.N0000,200,3.755868544600939,16.0,442.0,426.0,449.0,426.0,1741767457005,01/JAN/1967,118092.0,267,4,86803015988.0,0.0,449.0,442.0,267,4,0,2025-03-12 11:31:07.832755,2025-03-12
447,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,1000,0.2560819462227913,0.5,195.75,195.25,197.75,193.0,1741769957221,01/JAN/1969,35318800.25,181846,100,44504635936.5,0.0,197.75,195.75,381846,101,0,2025-03-12 11:31:07.832755,2025-03-12
224,CENTRAL INDUSTRIES PLC,CIND.N0000,2,3.114186851211073,4.5,149.0,144.5,150.0,148.5,1741764551187,14/AUG/1990,492221.0,3306,6,3605083757.0,0.0,149.0,149.0,3306,6,0,2025-03-12 11:31:07.832755,2025-03-12
981,CEYLINCO HOLDINGS PLC,CINS.X0000,1,0.0,0.0,1396.25,1396.25,1400.0,1400.0,1741755165628,21/APR/1988,46200.0,33,3,8956217700.0,0.0,1400.0,1396.25,33,3,0,2025-03-12 11:31:07.832755,2025-03-12
91,CEYLINCO HOLDINGS PLC,CINS.N0000,2,-2.5370887981079338,-88.5,3399.75,3488.25,3444.0,3050.5,1741766918270,21/APR/1988,3560070.75,1093,28,67995000000.0,0.0,3110.25,3399.75,1093,28,0,2025-03-12 11:31:07.832755,2025-03-12
560,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,36,0.0,0.0,2610.25,2610.25,2600.0,2560.0,1741764438300,01/JAN/1970,249200.0,96,3,54784161922.5,0.0,2600.0,2610.25,96,3,2,2025-03-12 11:31:07.832755,2025-03-12
426,CEYLON COLD STORES PLC,CCS.N0000,1000,0.25412960609911056,0.2,78.9,78.7,80.3,78.6,1741769983914,01/JAN/1970,6151871.5,77986,60,74986560000.0,0.0,79.0,78.9,1077986,61,0,2025-03-12 11:31:07.832755,2025-03-12
74,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,200,0.9497964721845319,1.75,186.0,184.25,186.0,183.25,1741769916409,01/JAN/1984,3140682.0,16889,23,11160000000.0,0.0,184.0,186.0,16889,23,0,2025-03-12 11:31:07.832755,2025-03-12
196,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,370,3.61247947454844,5.5,157.75,152.25,160.0,155.0,1741768795637,01/JAN/1951,38417269.5,247843,11,12629148080.25,0.0,160.0,157.75,247843,11,0,2025-03-12 11:31:07.832755,2025-03-12
453,CEYLON HOSPITALS PLC,CHL.X0000,19,6.5,6.5,106.5,100.0,107.5,104.75,1741763382383,14/NOV/2003,136997.75,1287,10,1079245972.5,0.0,105.0,106.5,1287,10,0,2025-03-12 11:31:07.832755,2025-03-12
264,CEYLON HOSPITALS PLC,CHL.N0000,100,6.041666666666667,7.25,127.25,120.0,127.25,126.0,1741767871349,14/NOV/2003,115313.0,908,15,4041806501.75,0.0,126.0,127.25,908,15,0,2025-03-12 11:31:07.832755,2025-03-12
383,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,355,1.7699115044247788,0.4,23.0,22.6,23.0,22.9,1741765845463,01/JAN/1967,126508.4,5501,5,4140711666.0,0.0,22.9,23.0,5501,5,0,2025-03-12 11:31:07.832755,2025-03-12
133,CEYLON INVESTMENT PLC,CINV.N0000,40,2.844950213371266,2.0,72.3,70.3,73.9,69.3,1741769250768,01/JAN/1949,5287921.2,74092,42,7027613718.9,0.0,73.9,72.3,74092,42,0,2025-03-12 11:31:07.832755,2025-03-12
461,CEYLON LAND & EQUITY PLC,KZOO.N0000,1461,3.3707865168539324,0.3,9.2,8.9,9.4,8.9,1741769827889,01/JAN/1958,4165715.5,459680,75,2825120976.4,0.0,9.0,9.2,459680,75,0,2025-03-12 11:31:07.832755,2025-03-12
1522,CEYLON TEA BROKERS PLC,CTBL.N0000,5000,1.492537313432836,0.1,6.8,6.7,6.8,6.4,1741769914304,16/MAR/2010,153111.6,22612,12,1240320000.0,0.0,6.4,6.8,22612,12,2,2025-03-12 11:31:07.832755,2025-03-12
381,CEYLON TOBACCO COMPANY PLC,CTC.N0000,20,-0.26109660574412535,-3.5,1337.0,1340.5,1350.0,1332.5,1741769488470,01/JAN/1955,2217651.0,1660,47,250451855087.0,0.0,1345.0,1337.0,1660,47,0,2025-03-12 11:31:07.832755,2025-03-12
529,CHEMANEX PLC,CHMX.N0000,8,0.0,0.0,154.75,154.75,159.5,153.25,1741769228897,01/JAN/1974,1901.5,12,3,2430706532.0,0.0,153.25,154.75,12,3,0,2025-03-12 11:31:07.832755,2025-03-12
131,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,941,3.669724770642202,5.0,141.25,136.25,142.0,135.5,1741769948557,14/OCT/1996,7149195.5,51436,174,33900000000.0,0.0,136.5,141.25,51436,174,0,2025-03-12 11:31:07.832755,2025-03-12
4966,CHRISSWORLD PLC,CWL.N0000,5,3.0,0.3,10.3,10.0,10.9,10.0,1741769340558,18/MAY/2021,56171.9,5452,11,309000000.0,0.0,10.0,10.3,5452,11,5,2025-03-12 11:31:07.832755,2025-03-12
328,C I C HOLDINGS PLC,CIC.X0000,10,0.391644908616188,0.3,76.9,76.6,78.0,74.0,1741767998893,11/OCT/1964,7929134.6,104756,87,6727212000.0,0.0,77.0,76.9,104756,87,0,2025-03-12 11:31:07.832755,2025-03-12
162,C I C HOLDINGS PLC,CIC.N0000,1,1.3215859030837005,1.5,115.0,113.5,120.0,112.25,1741767097472,11/OCT/1964,6365571.0,55570,41,33534000000.0,0.0,120.0,115.0,55570,41,0,2025-03-12 11:31:07.832755,2025-03-12
1630,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,1,0.0,0.0,228.75,228.75,230.0,227.0,1741769384960,06/OCT/2010,1594.5,7,3,13840919977.5,0.0,227.0,228.75,7,3,0,2025-03-12 11:31:07.832755,2025-03-12
1858,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,900,1.046337817638266,1.75,169.0,167.25,169.0,165.0,1741769508316,06/OCT/2010,6042221.0,36584,27,1748079892.0,0.0,167.25,169.0,36584,27,0,2025-03-12 11:31:07.832755,2025-03-12
101,CITRUS LEISURE PLC,REEF.N0000,50,0.0,0.0,3.9,3.9,4.0,3.9,1741767734601,01/JAN/1984,839581.3,213430,23,2517780240.3,0.0,4.0,3.9,213430,23,0,2025-03-12 11:31:07.832755,2025-03-12
5353,Co-operative Insurance Company PLC,COOP.N0000,1,0.0,0.0,3.0,3.0,3.1,2.9,1741769903795,30/DEC/2021,1594857.1,531584,33,4956532800.0,0.0,3.0,3.0,531584,33,2,2025-03-12 11:31:07.832755,2025-03-12
44,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,400,3.1298904538341157,2.0,65.9,63.9,67.8,63.4,1741769730674,01/JAN/1949,372763.9,5711,23,1677625526.0,0.0,63.9,65.9,5711,23,0,2025-03-12 11:31:07.832755,2025-03-12
267,COLOMBO DOCKYARD PLC,DOCK.N0000,12,0.4580152671755725,0.3,65.8,65.5,66.0,65.0,1741767660369,01/JAN/1983,3204184.3,49216,13,4728317199.2,0.0,66.0,65.8,49216,13,1,2025-03-12 11:31:07.832755,2025-03-12
385,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,164,-0.24937655860349128,-0.25,100.0,100.25,100.25,100.0,1741758833368,15/JUN/1986,94115.0,941,9,878704100.0,0.0,100.25,100.0,941,9,2,2025-03-12 11:31:07.832755,2025-03-12
378,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,310,0.0,0.0,22.0,22.0,22.0,21.9,1741767829143,19/MAR/1986,259075.0,11800,12,4397382176.0,0.0,22.0,22.0,11800,12,0,2025-03-12 11:31:07.832755,2025-03-12
208,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,1009,2.1660649819494586,3.0,141.5,138.5,142.0,138.75,1741769966614,01/JAN/1970,29263090.75,208964,168,214451979842.5,0.0,140.0,141.5,208964,168,0,2025-03-12 11:31:07.832755,2025-03-12
396,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,50,1.4675052410901468,1.75,121.0,119.25,122.0,119.5,1741769983745,01/JAN/1970,7871036.25,65424,92,11505427538.0,0.0,121.0,121.0,65424,92,0,2025-03-12 11:31:07.832755,2025-03-12
1798,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,100,4.474708171206226,2.3,53.7,51.4,54.0,51.3,1741769882738,01/JUN/2011,7056231.2,132177,60,17080593400.5,0.0,51.3,53.7,132177,60,2,2025-03-12 11:31:07.832755,2025-03-12
490,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,454,4.753199268738574,6.5,143.25,136.75,150.0,138.0,1741767114436,01/JAN/1983,1266901.0,8850,33,1719000000.0,0.0,138.0,143.25,8850,33,2,2025-03-12 11:31:07.832755,2025-03-12
168,CONVENIENCE FOODS LANKA PLC,SOY.N0000,50,0.038602586373287014,0.5,1295.75,1295.25,1305.0,1280.0,1741767500309,13/MAY/1992,165816.25,128,9,3563312500.0,0.0,1280.0,1295.75,128,9,0,2025-03-12 11:31:07.832755,2025-03-12
123,DANKOTUWA PORCELAIN PLC,DPL.N0000,1,4.545454545454546,1.0,23.0,22.0,23.0,22.1,1741769990743,21/FEB/1995,653144.6,28402,10,3738717160.0,0.0,22.1,23.0,28402,10,2,2025-03-12 11:31:07.832755,2025-03-12
239,DFCC BANK PLC,DFCC.N0000,3,2.107728337236534,2.25,109.0,106.75,110.0,106.25,1741769997576,01/JAN/1956,31074242.5,289884,183,47159723199.0,0.0,106.5,109.0,289884,183,0,2025-03-12 11:31:07.832755,2025-03-12
471,DIALOG AXIATA PLC,DIAL.N0000,10,0.7299270072992701,0.1,13.8,13.7,13.9,13.6,1741769811744,28/JUL/2005,7417812.9,540038,69,126964622917.2,0.0,13.7,13.8,540038,69,0,2025-03-12 11:31:07.832755,2025-03-12
1965,DIALOG FINANCE PLC,CALF.N0000,80,0.0,0.0,45.0,45.0,43.0,43.0,1741757320151,04/OCT/2011,3483.0,81,2,5282993970.0,0.0,43.0,45.0,81,2,3,2025-03-12 11:31:07.832755,2025-03-12
375,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,9,-5.412371134020619,-52.5,917.5,970.0,969.75,915.0,1741767334602,01/JAN/1964,624172.0,679,31,8469895745.0,0.0,960.0,917.5,679,31,0,2025-03-12 11:31:07.832755,2025-03-12
6172,DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,1530,1.408450704225352,1.0,72.0,71.0,72.9,70.5,1741769906222,03/OCT/2024,10169565.3,143313,88,23999304456.0,0.0,71.1,72.0,143313,88,0,2025-03-12 11:31:07.832755,2025-03-12
327,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,9,0.0,0.0,1100.0,1100.0,1010.0,1010.0,1741757824092,01/JAN/1982,9090.0,9,1,22811250000.0,0.0,1010.0,1100.0,9,1,2,2025-03-12 11:31:07.832755,2025-03-12
399,DIPPED PRODUCTS PLC,DIPD.N0000,3096,3.1481481481481484,1.7,55.7,54.0,55.9,53.4,1741769983421,01/JAN/1982,31898353.5,586454,217,33342862184.0,0.0,53.6,55.7,586454,217,0,2025-03-12 11:31:07.832755,2025-03-12
68,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,80,0.8849557522123894,0.3,34.2,33.9,34.8,33.7,1741769966476,10/AUG/1992,3425192.9,100629,68,157320000000.0,0.0,33.9,34.2,100629,68,3,2025-03-12 11:31:07.832755,2025-03-12
455,DOLPHIN HOTELS PLC,STAF.N0000,450,-0.43859649122807015,-0.2,45.4,45.6,48.0,44.0,1741769497935,01/JAN/1982,10715769.7,237393,117,2871230111.6,0.0,44.8,45.4,237393,117,0,2025-03-12 11:31:07.832755,2025-03-12
26,E B CREASY & COMPANY PLC,EBCR.N0000,3659,-1.2345679012345678,-0.4,32.0,32.4,32.9,32.0,1741764895377,01/JAN/1968,269734.3,8350,27,8113465600.0,0.0,32.5,32.0,8350,27,0,2025-03-12 11:31:07.832755,2025-03-12
5173,E M L CONSULTANTS PLC,EML.N0000,500,2.7777777777777777,0.1,3.7,3.6,3.7,3.7,1741769181379,27/SEP/2021,43175.3,11669,8,336330000.0,0.0,3.7,3.7,11669,8,5,2025-03-12 11:31:07.832755,2025-03-12
460,E - CHANNELLING PLC,ECL.N0000,890,-3.1496062992125986,-0.4,12.3,12.7,12.5,12.3,1741766613544,21/MAY/2002,74012.5,6001,6,1502216404.5,0.0,12.5,12.3,6001,6,1,2025-03-12 11:31:07.832755,2025-03-12
403,EAST WEST PROPERTIES PLC,EAST.N0000,13250,1.3793103448275863,0.2,14.7,14.5,14.7,14.3,1741769974099,01/JAN/1983,196748.4,13388,3,2032128000.0,0.0,14.3,14.7,13388,3,0,2025-03-12 11:31:07.832755,2025-03-12
405,EASTERN MERCHANTS PLC,EMER.N0000,500,1.3888888888888888,0.1,7.3,7.2,7.5,7.1,1741757164445,01/JAN/1982,7682.1,1051,4,857355800.0,0.0,7.1,7.3,1051,4,0,2025-03-12 11:31:07.832755,2025-03-12
348,EDEN HOTEL LANKA PLC,EDEN.N0000,100,2.962962962962963,0.4,13.9,13.5,14.0,13.5,1741769924797,13/DEC/1993,778462.9,56692,39,22017600000.0,0.0,13.5,13.9,56692,39,3,2025-03-12 11:31:07.832755,2025-03-12
115,ELPITIYA PLANTATIONS PLC,ELPL.N0000,90,1.3157894736842106,1.5,115.5,114.0,117.0,113.25,1741768577621,08/DEC/2000,2705804.25,23738,35,8416072434.0,0.0,114.25,115.5,23738,35,2,2025-03-12 11:31:07.832755,2025-03-12
5231,Ex-pack Corrugated Cartons PLC,PACK.N0000,908,0.0,0.0,14.3,14.3,14.5,14.1,1741769941084,10/NOV/2021,1603469.1,112952,56,4766666661.9,0.0,14.3,14.3,112952,56,0,2025-03-12 11:31:07.832755,2025-03-12
5472,EXTERMINATORS PLC,EXT.N0000,5,0.0,0.0,5.2,5.2,5.4,5.2,1741767426868,30/MAR/2022,9601.8,1846,8,274832786.8,0.0,5.4,5.2,1846,8,2,2025-03-12 11:31:07.832755,2025-03-12
528,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,11,1.744186046511628,0.6,35.0,34.4,35.1,34.0,1741769983113,22/AUG/1994,6287383.9,181348,151,14175000000.0,0.0,34.5,35.0,181348,151,2,2025-03-12 11:31:07.832755,2025-03-12
5330,First Capital Treasuries PLC,FCT.N0000,1815,0.425531914893617,0.1,23.6,23.5,24.0,23.5,1741769802381,02/MAR/2015,1680156.9,71277,40,14528160000.0,0.0,24.0,23.6,71277,40,0,2025-03-12 11:31:07.832755,2025-03-12
116,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,1000,1.1904761904761905,0.2,17.0,16.8,17.0,16.8,1741768850691,01/JAN/1970,123401.4,7272,21,8514102588.0,0.0,16.8,17.0,7272,21,1,2025-03-12 11:31:07.832755,2025-03-12
533,GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,1500,5.818965517241379,2.7,49.1,46.4,49.4,47.0,1741769924077,21/NOV/2001,15959368.0,332989,23,1418741504.9,0.0,48.8,49.1,332989,23,0,2025-03-12 11:31:07.832755,2025-03-12
466,GESTETNER OF CEYLON PLC,GEST.N0000,530,-2.661596958174905,-3.5,128.0,131.5,128.0,125.75,1741758093066,01/JAN/1965,73837.75,577,7,340199936.0,0.0,125.75,128.0,577,7,0,2025-03-12 11:31:07.832755,2025-03-12
2091,GREENTECH ENERGY PLC,MEL.N0000,5000,0.0,0.0,2.2,2.2,2.2,2.2,1741769650580,25/APR/2012,11972.4,5442,3,220000000.0,0.0,2.2,2.2,5442,3,2,2025-03-12 11:31:07.832755,2025-03-12
132,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,100,2.6252983293556085,1.1,43.0,41.9,43.9,41.1,1741769948041,25/MAR/1998,17052.3,397,4,1991578927.0,0.0,43.3,43.0,397,4,3,2025-03-12 11:31:07.832755,2025-03-12
172,HATTON NATIONAL BANK PLC,HNB.N0000,20,1.729818780889621,5.25,308.75,303.5,310.0,303.5,1741769890697,01/JAN/1971,90445426.0,294975,225,140780266347.5,0.0,303.5,308.75,459975,227,0,2025-03-12 11:31:07.832755,2025-03-12
340,HATTON NATIONAL BANK PLC,HNB.X0000,275,0.7714561234329798,2.0,261.25,259.25,262.0,259.0,1741769959363,01/JAN/1971,19643419.5,75527,152,30266523622.5,0.0,259.0,261.25,75527,152,0,2025-03-12 11:31:07.832755,2025-03-12
4058,HATTON PLANTATIONS PLC,HPL.N0000,9,2.9411764705882355,0.8,28.0,27.2,28.0,27.9,1741769540522,02/FEB/2018,8987.1,321,5,6626666788.0,0.0,28.0,28.0,321,5,2,2025-03-12 11:31:07.832755,2025-03-12
31,HAYCARB PLC,HAYC.N0000,1,1.875,1.5,81.5,80.0,82.0,80.5,1741769835838,01/JAN/1975,1555287.6,19060,43,24215585625.0,0.0,80.6,81.5,19060,43,0,2025-03-12 11:31:07.832755,2025-03-12
331,HAYLEYS FABRIC PLC,MGT.N0000,18,0.0,0.0,48.6,48.6,49.0,48.5,1741769917472,23/APR/2003,4016578.9,82635,48,20192414313.6,0.0,48.9,48.6,82635,48,0,2025-03-12 11:31:07.832755,2025-03-12
524,HAYLEYS FIBRE PLC,HEXP.N0000,50,2.0408163265306123,1.0,50.0,49.0,50.9,50.0,1741768733415,17/MAR/1992,19601.5,389,9,1200000000.0,0.0,50.9,50.0,389,9,0,2025-03-12 11:31:07.832755,2025-03-12
214,HAYLEYS LEISURE PLC,CONN.N0000,10,2.142857142857143,0.6,28.6,28.0,29.3,26.5,1741769132757,11/MAR/1996,817468.3,28997,31,3088512798.8,0.0,27.2,28.6,28997,31,0,2025-03-12 11:31:07.832755,2025-03-12
175,HAYLEYS PLC,HAYL.N0000,200,2.6315789473684212,3.5,136.5,133.0,138.5,132.0,1741769974605,01/JAN/1953,60999185.0,450407,118,102375000000.0,0.0,138.5,136.5,650407,119,0,2025-03-12 11:31:07.832755,2025-03-12
5431,HELA APPAREL HOLDINGS PLC,HELA.N0000,20007,0.0,0.0,4.6,4.6,4.7,4.6,1741769882856,07/FEB/2022,3609877.0,779080,132,7529035220.2,0.0,4.7,4.6,779080,132,0,2025-03-12 11:31:07.832755,2025-03-12
325,HEMAS HOLDINGS PLC,HHL.N0000,50,0.20964360587002095,0.25,119.5,119.25,120.25,118.75,1741769998936,15/OCT/2003,16674738.5,139555,94,71378234300.0,0.0,119.25,119.5,139555,94,0,2025-03-12 11:31:07.832755,2025-03-12
2229,HIKKADUWA BEACH RESORT PLC,CITH.N0000,470,0.0,0.0,3.3,3.3,3.4,3.3,1741769996184,17/DEC/2012,234910.7,71179,13,1790789652.3,0.0,3.3,3.3,71179,13,2,2025-03-12 11:31:07.832755,2025-03-12
5,HNB ASSURANCE PLC,HASU.N0000,100,1.972872996300863,1.6,82.7,81.1,84.0,81.1,1741769852767,28/NOV/2003,3081438.2,37224,28,12405000000.0,0.0,81.1,82.7,37224,28,0,2025-03-12 11:31:07.832755,2025-03-12
