id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,1,-0.5458515283842795,-1.25,227.75,229.0,229.0,224.0,1727080562104,01/JAN/1984,53074.0,233,9,1163930040.0,0.0,227.0,227.75,233,9,0,2024-09-23 22:54:45.355034,2024-09-24
1845,ABANS FINANCE PLC,AFSL.N0000,732,2.5,0.5,20.5,20.0,20.5,19.5,1727068944505,27/JUN/2011,215175.0,10982,7,1510710005.5,0.0,19.8,20.5,10982,7,3,2024-09-23 22:54:45.355034,2024-09-24
2065,ACCESS ENGINEERING PLC,AEL.N0000,1,0.9615384615384616,0.2,21.0,20.8,21.0,19.4,1727081885364,27/MAR/2012,19067650.1,937280,310,21000000000.0,0.0,20.9,21.0,937280,310,0,2024-09-23 22:54:45.355034,2024-09-24
472,ACL CABLES PLC,ACL.N0000,2000,0.8883248730964467,0.7,79.5,78.8,80.3,77.0,1727081699165,01/JAN/1976,11621203.9,145887,107,19046190240.0,0.0,78.0,79.5,145887,107,0,2024-09-23 22:54:45.355034,2024-09-24
406,ACL PLASTICS PLC,APLA.N0000,19,1.625,6.5,406.5,400.0,410.0,399.5,1727080985105,05/APR/1995,349939.5,870,14,1712381250.0,0.0,410.0,406.5,870,14,0,2024-09-23 22:54:45.355034,2024-09-24
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,15,-2.0,-0.1,4.9,5.0,5.0,4.8,1727079094995,01/JAN/1956,122879.5,25409,12,465500000.0,0.0,4.8,4.9,25409,12,1,2024-09-23 22:54:45.355034,2024-09-24
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,1469,-1.5873015873015872,-0.5,31.0,31.5,31.9,30.7,1727078878430,22/JAN/1996,100793.8,3255,10,4843750000.0,0.0,31.0,31.0,3255,10,0,2024-09-23 22:54:45.355034,2024-09-24
2026,AGSTAR PLC,AGST.N0000,1000,-1.3888888888888888,-0.1,7.1,7.2,7.2,7.0,1727081960786,16/FEB/2012,2750069.8,388734,76,3275155201.5,0.0,7.1,7.1,388734,76,2,2024-09-23 22:54:45.355034,2024-09-24
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,150,2.260869565217391,1.3,58.8,57.5,60.0,58.5,1727081438556,01/JAN/1980,361978.2,6158,17,19773852588.0,0.0,60.0,58.8,6158,17,0,2024-09-23 22:54:45.355034,2024-09-24
343,AITKEN SPENCE PLC,SPEN.N0000,250,3.930131004366812,4.5,119.0,114.5,120.0,112.0,1727081463674,01/JAN/1983,871684.0,7574,26,48313529355.0,0.0,114.0,119.0,7574,26,0,2024-09-23 22:54:45.355034,2024-09-24
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,100,0.9803921568627451,1.0,103.0,102.0,105.0,100.0,1727076081434,01/JAN/1959,290827.5,2859,20,3470688000.0,0.0,102.25,103.0,2859,20,0,2024-09-23 22:54:45.355034,2024-09-24
5511,ALPHA FIRE SERVICES PLC,AFS.N0000,138,7.462686567164179,0.5,7.2,6.7,7.2,7.2,1727081471806,,2023.2,281,3,273240000.0,0.0,7.2,7.2,281,3,5,2024-09-23 22:54:45.355034,2024-09-24
3082,ALUMEX PLC,ALUM.N0000,1,2.727272727272727,0.3,11.3,11.0,11.5,10.6,1727078929532,31/MAR/2014,769370.2,69920,29,6764244184.0,0.0,11.0,11.3,69920,29,2,2024-09-23 22:54:45.355034,2024-09-24
3046,AMANA BANK PLC,ABL.N0000,10000,3.7735849056603774,0.8,22.0,21.2,22.0,21.0,1727081867239,29/JAN/2014,1584852.3,72752,29,12124766412.0,0.0,21.0,22.0,72752,29,0,2024-09-23 22:54:45.355034,2024-09-24
364,AMANA TAKAFUL PLC,ATL.N0000,150,-1.7094017094017093,-0.2,11.5,11.7,11.5,11.5,1727081894278,27/NOV/2006,2875.0,250,2,2341752394.5,0.0,11.5,11.5,250,2,2,2024-09-23 22:54:45.355034,2024-09-24
2145,AMBEON CAPITAL PLC,TAP.N0000,11950,4.3478260869565215,0.5,12.0,11.5,12.0,11.5,1727081953694,17/MAY/2012,518412.0,43401,15,12032697780.0,0.0,11.5,12.0,43401,15,2,2024-09-23 22:54:45.355034,2024-09-24
121,AMBEON HOLDINGS PLC,GREG.N0000,467,2.7989821882951653,1.1,40.4,39.3,40.8,39.2,1727081977523,01/JAN/1970,79877.4,2000,15,14417534506.4,0.0,39.2,40.4,2000,15,2,2024-09-23 22:54:45.355034,2024-09-24
2025,ASIA ASSET FINANCE PLC,AAF.N0000,30,-6.923076923076923,-0.9,12.1,13.0,12.8,12.0,1727081700798,12/JAN/2012,24692.2,2040,7,1502765949.3,0.0,12.8,12.1,2040,7,0,2024-09-23 22:54:45.355034,2024-09-24
160,ASIA CAPITAL PLC,ACAP.N0000,563,-3.0303030303030303,-0.1,3.2,3.3,3.3,3.2,1727068363728,22/SEP/1994,9123.4,2832,5,420255984.0,0.0,3.3,3.2,2832,5,1,2024-09-23 22:54:45.355034,2024-09-24
2209,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1000,4.761904761904762,0.2,4.4,4.2,4.6,4.1,1727080865535,12/SEP/2012,568798.8,128629,26,1144000000.0,0.0,4.3,4.4,128629,26,2,2024-09-23 22:54:45.355034,2024-09-24
143,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,1000,-0.5681818181818182,-0.3,52.5,52.8,52.5,52.5,1727066790178,30/JAN/2004,55125.0,1050,2,23245703250.0,0.0,52.5,52.5,1050,2,0,2024-09-23 22:54:45.355034,2024-09-24
240,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,732,1.8018018018018018,0.2,11.3,11.1,11.4,11.0,1727081725935,12/NOV/2004,24169.9,2163,10,5971570258.5,0.0,11.0,11.3,2163,10,1,2024-09-23 22:54:45.355034,2024-09-24
225,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,30,-2.978723404255319,-0.7,22.8,23.5,23.5,22.8,1727081972935,01/JUN/1986,608351.0,26541,57,25935765988.8,0.0,23.5,22.8,26541,57,1,2024-09-23 22:54:45.355034,2024-09-24
1844,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,951,4.219409282700422,1.0,24.7,23.7,25.3,23.1,1727081463991,23/JUN/2011,8573143.6,355038,92,2799183519.6,0.0,23.4,24.7,355038,92,2,2024-09-23 22:54:45.355034,2024-09-24
5753,Agarapatana Plantations PLC,AGPL.N0000,5749,-1.36986301369863,-0.1,7.2,7.3,7.3,7.1,1727075167091,04/SEP/2023,170382.8,23662,15,3600000000.0,0.0,7.3,7.2,23662,15,2,2024-09-23 22:54:45.355034,2024-09-24
3794,B P P L HOLDINGS PLC,BPPL.N0000,3,0.0,0.0,17.8,17.8,18.0,17.8,1727075287522,04/APR/2017,55324.0,3103,7,5461811754.6,0.0,17.8,17.8,3103,7,2,2024-09-23 22:54:45.355034,2024-09-24
188,BAIRAHA FARMS PLC,BFL.N0000,176,0.48465266558966075,0.75,155.5,154.75,156.0,154.0,1727074496335,05/DEC/1994,1939770.75,12505,26,2736800000.0,0.0,154.75,155.5,12505,26,0,2024-09-23 22:54:45.355034,2024-09-24
193,BALANGODA  PLANTATIONS  PLC,BALA.N0000,20000,2.9978586723768736,1.4,48.1,46.7,48.4,46.2,1727081960924,03/JUN/1998,2059209.9,42775,28,2273818120.6,0.0,47.8,48.1,42775,28,0,2024-09-23 22:54:45.355034,2024-09-24
3080,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,16,0.746268656716418,0.1,13.5,13.4,13.7,13.5,1727078623931,27/MAR/2014,53815.7,3975,4,725328000.0,0.0,13.6,13.5,3975,4,2,2024-09-23 22:54:45.355034,2024-09-24
2188,BERUWALA RESORTS PLC,BERU.N0000,778,3.7037037037037037,0.1,2.8,2.7,2.8,2.6,1727081846642,04/JUL/2012,106002.8,39691,21,1961524026.0,0.0,2.8,2.8,39691,21,2,2024-09-23 22:54:45.355034,2024-09-24
135,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,9,33.333333333333336,0.1,0.4,0.3,0.4,0.3,1727081906439,31/MAR/1992,59358.0,164395,13,279809720.0,0.0,0.3,0.4,164395,13,1,2024-09-23 22:54:45.355034,2024-09-24
301,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,11,0.0,0.0,0.3,0.3,0.3,0.3,1727081178322,31/MAR/1992,393.6,1312,3,67793014.2,0.0,0.3,0.3,1312,3,1,2024-09-23 22:54:45.355034,2024-09-24
189,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,1,0.19230769230769232,0.1,52.1,52.0,52.5,51.7,1727081960514,08/MAY/1992,104287.1,2005,16,4930374298.4,0.0,52.0,52.1,2005,16,2,2024-09-23 22:54:45.355034,2024-09-24
34,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,652,0.28653295128939826,0.1,35.0,34.9,35.0,34.9,1727077158887,08/DEC/1995,103105.6,2946,7,2931250000.0,0.0,34.9,35.0,2946,7,2,2024-09-23 22:54:45.355034,2024-09-24
25,BROWN & COMPANY PLC,BRWN.N0000,366,0.0,0.0,103.0,103.0,105.0,99.0,1727081979847,25/APR/1991,9200959.0,90249,164,21900375000.0,0.0,101.0,103.0,90249,164,2,2024-09-23 22:54:45.355034,2024-09-24
128,BROWNS BEACH HOTELS PLC,BBH.N0000,104,2.962962962962963,0.4,13.9,13.5,15.0,13.0,1727081973277,22/FEB/1993,53403.0,3962,14,1801440000.0,0.0,13.0,13.9,3962,14,1,2024-09-23 22:54:45.355034,2024-09-24
1851,BROWNS INVESTMENTS PLC,BIL.N0000,293,0.0,0.0,5.3,5.3,5.5,4.9,1727081981243,26/JUL/2011,48314722.5,9285737,482,76159502538.0,0.0,5.2,5.3,9285737,482,2,2024-09-23 22:54:45.355034,2024-09-24
308,C M HOLDINGS PLC,COLO.N0000,90,0.0,0.0,85.1,85.1,89.0,89.0,1727066071599,01/JAN/1970,8010.0,90,1,1293520000.0,0.0,89.0,85.1,90,1,0,2024-09-23 22:54:45.355034,2024-09-24
335,C. W. MACKIE PLC,CWM.N0000,10,0.0,0.0,94.8,94.8,94.8,94.8,1727077227388,09/JAN/1995,57828.0,610,3,3411715108.8,0.0,94.8,94.8,610,3,2,2024-09-23 22:54:45.355034,2024-09-24
6052,CABLE SOLUTIONS LIMITED,CSLK.N0000,7854,1.36986301369863,0.1,7.4,7.3,7.4,7.1,1727081299000,14/AUG/2024,1192548.7,162871,17,3482932840.0,0.0,7.1,7.4,162871,17,2,2024-09-23 22:54:45.355034,2024-09-24
