id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,5,-2.0856201975850714,-4.75,223.0,227.75,227.0,220.0,1727340941024,01/JAN/1984,117473.5,525,14,1139654880.0,0.0,220.0,223.0,525,14,0,2024-09-26 17:18:39.768880,2024-09-26
1845,ABANS FINANCE PLC,AFSL.N0000,44,0.0,0.0,19.7,19.7,21.1,21.1,1727324647546,27/JUN/2011,928.4,44,1,1451755468.7,0.0,21.1,19.7,44,1,3,2024-09-26 17:18:39.768880,2024-09-26
2065,ACCESS ENGINEERING PLC,AEL.N0000,4000,-0.9009009009009009,-0.2,22.0,22.2,22.7,21.9,1727341196008,27/MAR/2012,97547738.3,4391881,497,22000000000.0,0.0,22.4,22.0,4391881,497,0,2024-09-26 17:18:39.768880,2024-09-26
472,ACL CABLES PLC,ACL.N0000,500,-3.6643026004728134,-3.1,81.5,84.6,85.9,80.0,1727340807933,01/JAN/1976,6575003.5,78794,148,19525339680.0,0.0,85.0,81.5,78794,148,0,2024-09-26 17:18:39.768880,2024-09-26
406,ACL PLASTICS PLC,APLA.N0000,9,-1.971326164874552,-8.25,410.25,418.5,429.0,410.0,1727336990315,05/APR/1995,754075.0,1811,23,1728178125.0,0.0,420.0,410.25,1811,23,0,2024-09-26 17:18:39.768880,2024-09-26
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,850,-2.0,-0.1,4.9,5.0,5.2,4.9,1727339672272,01/JAN/1956,202266.0,40811,35,465500000.0,0.0,5.2,4.9,40811,35,1,2024-09-26 17:18:39.768880,2024-09-26
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,1492,-1.21580547112462,-0.4,32.5,32.9,33.8,32.5,1727338294479,22/JAN/1996,2566172.1,76839,62,5078125000.0,0.0,32.6,32.5,76839,62,0,2024-09-26 17:18:39.768880,2024-09-26
2026,AGSTAR PLC,AGST.N0000,3,0.0,0.0,8.1,8.1,8.4,7.9,1727341153550,16/FEB/2012,14353701.6,1761898,257,3736444666.5,0.0,8.2,8.1,1761898,257,2,2024-09-26 17:18:39.768880,2024-09-26
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,4,-1.800327332242226,-1.1,60.0,61.1,63.0,60.0,1727339924587,01/JAN/1980,7578781.9,122891,41,20177400600.0,0.0,61.8,60.0,122891,41,0,2024-09-26 17:18:39.768880,2024-09-26
343,AITKEN SPENCE PLC,SPEN.N0000,970,0.8333333333333334,1.0,121.0,120.0,125.0,121.0,1727340127441,01/JAN/1983,946216.0,7676,22,49125521445.0,0.0,121.0,121.0,7676,22,0,2024-09-26 17:18:39.768880,2024-09-26
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,2,0.0,0.0,106.0,106.0,108.0,105.0,1727340874873,01/JAN/1959,1034831.75,9777,43,3571776000.0,0.0,106.0,106.0,9777,43,0,2024-09-26 17:18:39.768880,2024-09-26
5511,ALPHA FIRE SERVICES PLC,AFS.N0000,3340,1.4285714285714286,0.1,7.1,7.0,7.1,7.0,1727339460863,,105042.1,14851,14,269445000.0,0.0,7.1,7.1,14851,14,5,2024-09-26 17:18:39.768880,2024-09-26
3082,ALUMEX PLC,ALUM.N0000,1000,0.847457627118644,0.1,11.9,11.8,12.0,11.5,1727340833640,31/MAR/2014,18256734.7,1569911,69,7123407592.0,0.0,11.8,11.9,1569911,69,2,2024-09-26 17:18:39.768880,2024-09-26
3046,AMANA BANK PLC,ABL.N0000,20,0.9090909090909091,0.2,22.2,22.0,22.5,22.0,1727339931175,29/JAN/2014,508418.3,23083,14,12234991561.2,0.0,22.5,22.2,23083,14,0,2024-09-26 17:18:39.768880,2024-09-26
364,AMANA TAKAFUL PLC,ATL.N0000,100,-1.7857142857142858,-0.2,11.0,11.2,11.0,11.0,1727340527861,27/NOV/2006,1100.0,100,1,2239937073.0,0.0,11.0,11.0,100,1,2,2024-09-26 17:18:39.768880,2024-09-26
2145,AMBEON CAPITAL PLC,TAP.N0000,3953,-6.923076923076923,-0.9,12.1,13.0,13.1,12.0,1727341175894,17/MAY/2012,1434863.2,117454,50,12132970261.5,0.0,12.3,12.1,117454,50,2,2024-09-26 17:18:39.768880,2024-09-26
121,AMBEON HOLDINGS PLC,GREG.N0000,250,-5.882352941176471,-2.5,40.0,42.5,42.5,40.0,1727340808370,01/JAN/1970,54250.0,1350,7,14274786640.0,0.0,42.5,40.0,1350,7,2,2024-09-26 17:18:39.768880,2024-09-26
2025,ASIA ASSET FINANCE PLC,AAF.N0000,491,0.0,0.0,13.0,13.0,13.1,13.0,1727337924218,12/JAN/2012,1519888.6,116026,7,1614541929.0,0.0,13.1,13.0,116026,7,0,2024-09-26 17:18:39.768880,2024-09-26
160,ASIA CAPITAL PLC,ACAP.N0000,15,0.0,0.0,3.5,3.5,3.7,3.5,1727340602063,22/SEP/1994,48164.1,13409,10,459654982.5,0.0,3.6,3.5,13409,10,1,2024-09-26 17:18:39.768880,2024-09-26
2209,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1000,0.0,0.0,4.4,4.4,4.6,4.4,1727340963509,12/SEP/2012,428538.5,95480,30,1144000000.0,0.0,4.5,4.4,95480,30,2,2024-09-26 17:18:39.768880,2024-09-26
143,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,704,0.18214936247723132,0.1,55.0,54.9,58.7,53.8,1727340987245,30/JAN/2004,1226223.7,22006,44,24352641500.0,0.0,53.8,55.0,22006,44,0,2024-09-26 17:18:39.768880,2024-09-26
240,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,10000,-4.464285714285714,-0.5,10.7,11.2,11.2,10.7,1727341157624,12/NOV/2004,4000457.1,368172,142,5654495731.5,0.0,11.1,10.7,368172,142,1,2024-09-26 17:18:39.768880,2024-09-26
225,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,256,-3.4782608695652173,-0.8,22.2,23.0,22.7,22.1,1727340038288,01/JUN/1986,1112490.9,49839,47,25253245831.2,0.0,22.1,22.2,49839,47,1,2024-09-26 17:18:39.768880,2024-09-26
1844,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,6000,-4.444444444444445,-1.2,25.8,27.0,27.5,25.4,1727341174653,23/JUN/2011,8717221.8,328240,146,2923843514.4,0.0,27.0,25.8,328240,146,2,2024-09-26 17:18:39.768880,2024-09-26
5753,Agarapatana Plantations PLC,AGPL.N0000,2,0.0,0.0,7.6,7.6,7.7,7.3,1727341151863,04/SEP/2023,190234.8,25339,18,3800000000.0,0.0,7.7,7.6,25339,18,2,2024-09-26 17:18:39.768880,2024-09-26
3794,B P P L HOLDINGS PLC,BPPL.N0000,19348,-0.5524861878453039,-0.1,18.0,18.1,19.4,18.0,1727340520592,04/APR/2017,861172.7,47708,18,5523180426.0,0.0,19.4,18.0,47708,18,2,2024-09-26 17:18:39.768880,2024-09-26
188,BAIRAHA FARMS PLC,BFL.N0000,107,0.0,0.0,160.0,160.0,164.0,160.0,1727340664172,05/DEC/1994,8229063.75,51263,46,2816000000.0,0.0,164.0,160.0,51263,46,0,2024-09-26 17:18:39.768880,2024-09-26
193,BALANGODA  PLANTATIONS  PLC,BALA.N0000,133,-3.076923076923077,-1.6,50.4,52.0,52.8,50.1,1727340476628,03/JUN/1998,1564965.1,30359,34,2382545390.4,0.0,52.8,50.4,30359,34,0,2024-09-26 17:18:39.768880,2024-09-26
3080,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,1,0.7352941176470589,0.1,13.7,13.6,13.7,13.5,1727340288851,27/MAR/2014,3953.4,289,8,736073600.0,0.0,13.6,13.7,289,8,2,2024-09-26 17:18:39.768880,2024-09-26
2188,BERUWALA RESORTS PLC,BERU.N0000,1000,-3.5714285714285716,-0.1,2.7,2.8,2.9,2.7,1727341125653,04/JUL/2012,733056.5,261975,32,1891469596.5,0.0,2.9,2.7,261975,32,2,2024-09-26 17:18:39.768880,2024-09-26
135,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,15000,33.333333333333336,0.1,0.4,0.3,0.4,0.3,1727340965275,31/MAR/1992,6297.4,15809,12,279809720.0,0.0,0.4,0.4,15809,12,1,2024-09-26 17:18:39.768880,2024-09-26
